Record Number,Section,Page Name,Canonical URL,Page Type,Primary Topic,Secondary Topics,Category,Design Priority,Core Message,Primary Audience,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Current Image Filename,Design Status,Notes
11,Resource,Certificate Chain Viewer,https://ambisecure.ambimat.com/resources/tools/cert-chain/,PARSER,PKI,Certificate lifecycle,PKI & certificates,2,Shows how a PEM bundle's certificates line up by subject and issuer name so you can spot a missing intermediate or an out-of-order chain.,PKI engineer,"Leaf, intermediate, root — in that order",Missing intermediate breaks the chain,TOOL,TRUST CHAIN,"Dominant object: a vertical ladder of three certificate cards — leaf, intermediate, root — in the order a server must send them. Flow: each card's Issuer chip connects by a name-matching link to the Subject chip of the card below, and the root loops back on itself to show subject = issuer; a fourth element is a dashed gap where an intermediate is absent, carrying the error string 'unable to get local issuer certificate'. Signature, expiry and CRL/OCSP glyphs sit outside the frame, greyed and labelled as the TLS stack's job; parsing is local, nothing is transmitted. Labels allowed: Subject, Issuer, leaf/intermediate/root, RFC 5280 §6. Must not imply cryptographic path validation. Within VSG-CERT-STRUCTURE this is the name-linkage ladder, distinct from the single-cert field explosion and the V2X HashedId8 chain.","Do not show signature verification, expiry or CRL/OCSP checks — linkage is by subject/issuer name only; Do not draw the root as issued from above — the root is self-signed; Do not order the root first — convention is leaf, intermediates, then root; Do not render a green 'chain trusted' badge","Leaf, intermediate and self-looping root cards joined by subject-issuer name links, with a dashed gap marking the missing intermediate that breaks TLS chains.",ambisecure-resources-tools-cert-chain-1200x630.png,VSG-CERT-STRUCTURE,resources.png,Not started,
12,Resource,Base64 Certificate Decoder,https://ambisecure.ambimat.com/resources/tools/base64-cert/,PARSER,PKI,Certificate lifecycle,PKI encoding,3,"Identifies an unlabelled certificate blob — PEM, bare base64 or hex — normalises it to DER and re-armours it as PEM with the correct label, entirely in-browser.",Security practitioner,"Base64 in, DER and PEM out",Identify an unlabelled certificate blob,TOOL,DATA PARSER,"Dominant object: a funnel taking three unlabelled inputs — a full PEM block, bare headerless base64, and a hex dump — and narrowing to one normalised DER byte-run. Flow: five nodes — the three inputs, a type-detection chip reading 'X.509 cert? CSR?', and the re-armoured PEM output carrying the correct label, with a multi-block bundle hinted as a stack behind the output. Set inside a browser window with the dev-tools network pane visible and empty, echoing the page's own 'verify with dev-tools' privacy claim; nothing is uploaded. Labels allowed: base64, DER, hex, -----BEGIN CERTIFICATE-----. Must not imply chain building, revocation checking or decryption. Within VSG-ENCODING-CONVERTER this leads with identification of an unknown blob rather than the PEM↔DER converter's two-way equality.",Do not show chain building or revocation — this decodes one blob at a time; Do not present base64 as encryption or obfuscation; Do not lead with raw binary DER input — this tool focuses on base64/PEM text; Do not show an upload progress bar or server round-trip,"A funnel taking PEM, bare base64 and hex blobs down to normalised DER, then re-armouring with the right label — AmbiSecure's local certificate blob decoder.",ambisecure-resources-tools-base64-cert-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Overlaps heavily with the X.509 viewer and the PEM↔DER converter; consolidation candidate — the detection-funnel visual is what keeps it distinct.
13,Resource,PFX / PKCS#12 Inspector,https://ambisecure.ambimat.com/resources/tools/pfx-inspector/,PARSER,PKI,Certificate lifecycle; Provisioning,Key & certificate containers,3,"Reads the public structure of a .pfx/.p12 archive — bags, encryption schemes, embedded certificates — in the browser, deliberately without decrypting private-key bags.",PKI engineer,What is inside a .pfx archive,"PKCS#12 bags, keys left encrypted",TOOL,DATA PARSER,"Dominant object: a .pfx container cut away as an outer SEQUENCE box holding an AuthenticatedSafe with two SafeContents bags side by side. Flow: the certificate bag opens to reveal readable X.509 cards; the private-key bag stays shut behind a PBE padlock tagged PBES2 (PBKDF2 + AES), with a dimmed PBES1 SHA-1+3DES chip beside it marked legacy; a fifth node, the optional MAC, sits on the container edge. Draw the closed bag as a deliberate design boundary, not a failure state — the tool reads public structure only, locally, with the .pfx never leaving the browser. Labels allowed: RFC 7292, AuthenticatedSafe, SafeContents, PBES2, MAC. Must not show a decrypted key, a recovered password, or an extracted usable credential. Within VSG-BYTE-PARSER this is a nested container cutaway rather than a flat map decode.",Do not show decrypted private keys or a password being cracked — key bags stay sealed; Do not depict PBES1 with SHA-1+3DES as current practice; Do not imply the tool extracts a usable key or credential; Do not show the .pfx being uploaded for server-side processing,"A PKCS#12 container cutaway: certificate bags open and readable, the private-key bag padlocked under PBES2 — AmbiSecure inspects .pfx structure without decrypting.",ambisecure-resources-tools-pfx-inspector-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,Page is incomplete by design (no password-based decryption; PBES2 support on the roadmap) and the body is thin. Human review before promoting on LinkedIn.
14,Resource,ASN.1 BER/DER Parser,https://ambisecure.ambimat.com/resources/tools/asn1-parser/,PARSER,BER-TLV,PKI; Certificate lifecycle,PKI engineering,2,"A client-side ASN.1 BER/DER parser that decodes hex, base64 or PEM into a clickable tree of SEQUENCEs, INTEGERs, OIDs and OCTET STRINGs with X.509 OID lookup.",PKI engineer,Every DER byte has a shape,"PEM in, ASN.1 tree out",TOOL,DATA PARSER,"Dominant object: a PEM block — the classic BEGIN/END armoured text slab — peeling open into a typed DER tree on the right, an input-transformation framing that sets it apart from the raw-hex ribbons elsewhere in this group and from the TLV parser's smart-card tags. The flow is decode-and-type: exactly five nodes, the worked example 30 03 02 01 05 shown as SEQUENCE (0x30, constructed, length 3) containing INTEGER (0x02, length 1, value 5), alongside three sibling type nodes — OBJECT IDENTIFIER (0x06) resolved via X.509 OID lookup, OCTET STRING (0x04), and a context-specific constructed tag A0 marked as optional field [0]. A quiet side note contrasts BER (several valid encodings) against DER (one canonical encoding, required by X.509). No hardware is shown; the file or pasted blob is decoded locally and nothing is transmitted. Allowed labels: SEQUENCE, INTEGER, OBJECT IDENTIFIER, OCTET STRING, 0x30, 0x02, 0xA0, BER, DER, X.690, PEM. Must not imply certificate validation.","Do not present the tool as verifying a certificate chain, signature or trust — it decodes structure only; Do not attach semantic meaning to every OID, only common X.509 OIDs are looked up; Do not conflate this with the smart-card BER-TLV parser, whose conventions differ; Do not show DER as permitting multiple encodings of one value; Do not draw uploaded files travelling to a server","AmbiSecure ASN.1 BER/DER parser concept: a PEM block opening into a typed tree of SEQUENCE, INTEGER, OID and OCTET STRING nodes decoded entirely client-side.",ambisecure-resources-tools-asn1-parser-1200x630.png,VSG-BYTE-PARSER,resources.png,Not started,Group variation: only concept driven by PEM/base64 input and ASN.1 universal types rather than hex bytes and card tags.
15,Resource,ASCII ↔ HEX Converter,https://ambisecure.ambimat.com/resources/tools/ascii-hex/,ENGINEERING TOOL,Other,APDU; NFC; Smart cards,Byte-level engineering utilities,3,"Converts text to its exact byte values and back so an engineer reading an APDU log, NDEF payload, or hex dump can see what the bytes actually spell, entirely in the browser.",Smart-card engineer,See what the bytes spell,One character is not one byte,TOOL,DATA PARSER,"Dominant object is a single horizontal ribbon: a row of ASCII characters sitting directly above its byte row, tied by short alignment ligatures — A over 41, B over 42, and a second worked pair H over 48, i over 69. The relationship is strict one-glyph-to-one-byte for ASCII, with one deliberate exception node showing the accented letter e-acute widening to C3 A9 under UTF-8. Five nodes maximum: character row, byte row, direction toggle (ASCII to HEX / HEX to ASCII), separator selector (space / comma / dash / none), enclosing browser-boundary ring marking that conversion is local. Variation within VSG-ENCODING-CONVERTER: this is the character-to-byte alignment ribbon — no code literals, no alphabet rails, no width grouping. Allowed labels: 41 42, 48 69, 0x41 = 'A', C3 A9. Must not imply hex is a protective transformation or that byte count always equals character count.","Do not imply hex is encryption, obfuscation, or protection — it is the same bytes in a different notation; Do not show every character mapping to exactly one byte — e-acute is C3 A9 in UTF-8 and one byte only in Latin-1; Do not draw an upload or server round-trip — conversion is local to the browser; Do not depict this as an APDU parser: it converts strings and does not decode CLA/INS/P1/P2 or status words",Character-to-byte ribbon showing A and B resolve to 41 42 — the browser-local ASCII/hex view engineers use when reading APDU logs and NDEF payloads.,ambisecure-resources-tools-ascii-hex-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Commodity converter with low differentiation; consolidation candidate alongside hex-bytes and the UTF-8 inspector if the tool set is trimmed.
16,Resource,HEX ↔ Byte-Array Converter,https://ambisecure.ambimat.com/resources/tools/hex-bytes/,ENGINEERING TOOL,Other,APDU; Smart cards; Embedded security,Byte-level engineering utilities,3,"Normalises the inconsistent hex emitted by PC/SC, Wireshark, gpshell, and OpenSC into clean counted byte pairs, then re-emits it as the C, Java, Python, or JavaScript literal the next tool expects.",Embedded engineer,"Log hex in, byte array out",Every byte is two hex digits,TOOL,DATA PARSER,"Dominant object is a normalising funnel: three ragged input spellings of the same value on the left (9000, 90:00, 0x90, 0x00) converging into one canonical byte-pair strip, which then fans out to programmer-literal cards. The relationship is many-formats-in, one-canonical-form, many-formats-out, with a byte counter riding on the strip. Five nodes maximum: ragged input stack, normaliser, canonical byte-pair strip with a '3 bytes' count badge reading 0A 0B 0C, a C array card { 0x0A, 0x0B, 0x0C }, a Uint8Array card. A small rejected chip shows 0A0 struck through as odd-length. Everything sits inside a browser-boundary frame; nothing communicates outward. Variation within VSG-ENCODING-CONVERTER: this one is the many-in/one-canonical-out funnel with code-literal cards, distinct from the ASCII character ribbon and the base64 alphabet tracks. Allowed labels: 0A 0B 0C, 90:00, 3 bytes, 32 bytes (SHA-256), 16 bytes (AES-128). Must not imply the tool interprets what the bytes mean.","Do not show the tool decoding APDU or TLV meaning — it reformats and counts bytes, nothing more; Do not render an odd-length hex string such as 0A0 as producing valid output — it is rejected as ambiguous; Do not imply an AES key or SHA-256 value shown is generated, derived, or stored by the tool; Do not draw a server round-trip or telemetry — formatting and counting are client-side","Ragged hex from PC/SC and Wireshark logs funnelling into counted byte pairs and C, Java and Uint8Array literals in an AmbiSecure browser-local formatter.",ambisecure-resources-tools-hex-bytes-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Scope overlaps ASCII to HEX and the endian converter; consolidation candidate within the byte-utility cluster.
17,Resource,Base64 Encoder / Decoder,https://ambisecure.ambimat.com/resources/tools/base64/,ENGINEERING TOOL,Other,FIDO2; WebAuthn,Encoding utilities,2,Encodes and decodes standard and URL-safe base64 in the browser while making the page's central point unmissable: base64 is a transport encoding with no key and no confidentiality.,Security practitioner,"Base64 is encoding, not encryption","Same bytes, two alphabets",TOOL,COMPARISON,"Dominant object is a two-track comparison fed by one shared byte source: the word hello splits into a standard base64 track producing aGVsbG8= (alphabet chip + /, padding chip =) and a URL-safe track producing aGVsbG8 (alphabet chip - _, padding dropped). The relationship is one input, two alphabets, identical recovered bytes. Four nodes: source bytes, standard track, URL-safe track, and a marker rendered as an open padlock with no keyhole labelled 'no key, no confidentiality'. All of it sits inside a browser-boundary frame; no server node exists. Variation within VSG-ENCODING-CONVERTER: this is the two-track alphabet fork off a single source, unlike the ASCII ribbon, the hex funnel, or the base64url radial fan. Allowed labels: hello, aGVsbG8=, aGVsbG8, RFC 4648, + / vs - _. Must not imply base64 protects anything or belongs solely to WebAuthn.","Do not draw a closed padlock, key, cipher, or shield — base64 is reversible with no key and provides zero confidentiality; Do not show URL-safe base64 retaining = padding or using + and / characters; Do not present base64 as compression — it grows the payload by roughly one third; Do not show the blob being decoded on an AmbiSecure or third-party server","Two-column comparison of standard base64 against base64url, contrasting their alphabets, padding and RFC 4648 sections.",ambisecure-resources-tools-base64-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Overlaps rec 48; keep the standard-versus-URL-safe comparison here and reserve the WebAuthn/JOSE/CTAP2 framing for the base64url page.
18,Resource,UTF-8 Inspector,https://ambisecure.ambimat.com/resources/tools/utf8/,ENGINEERING TOOL,Other,BER-TLV; JavaCard,Encoding utilities,3,"Breaks a string into per-character codepoints and UTF-8 byte counts with BOM detection, showing exactly why a string is longer in bytes than in characters.",Embedded engineer,One to four bytes per character,"Codepoints, bytes, and a hidden BOM",TOOL,DATA PARSER,"Dominant object is a vertical per-character breakdown stack, one row per character, where each row's byte block visibly widens: A / U+0041 / 41 at one byte; e-acute / U+00E9 / C3 A9 at two; a CJK glyph / U+6C34 at three; an emoji at four. A fifth row is a flagged EF BB BF BOM chip marked 'detected, not required'. The relationship is codepoint to variable-width byte run, read top to bottom, with a running byte-count gutter. Five rows maximum. The whole stack sits inside a browser-boundary frame; no byte communicates outward. Variation within VSG-ENCODING-CONVERTER: this is the stacked per-character breakdown showing variable byte width — not a two-track fork, funnel, or mirrored axis. Allowed labels: U+0041, U+00E9, C3 A9, EF BB BF, RFC 3629. Must not imply UTF-8 is fixed-width or that the tool re-encodes text.","Do not show a fixed two-bytes-per-character grid — that is UTF-16, not UTF-8; Do not show ASCII characters in U+0000 to U+007F expanding beyond a single byte; Do not present the BOM as required or expected in UTF-8 — it is merely detected; Do not imply the inspector converts or re-encodes text — it only reports codepoints and byte widths","Per-character stack showing ASCII at one byte, an accented letter as C3 A9 and an emoji at four bytes, plus a flagged BOM row, inspected locally in the browser.",ambisecure-resources-tools-utf8-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Very thin body (~717 chars); worth expanding the copy before promoting the image anywhere.
19,Resource,Endian Converter,https://ambisecure.ambimat.com/resources/tools/endian/,ENGINEERING TOOL,Other,APDU; ATR; Embedded security,Byte-level engineering utilities,3,"Swaps u16/u32/u64 byte order between big- and little-endian and shows the unsigned value, so big-endian card and network fields stop silently disagreeing with little-endian x86 and ARM hosts.",Embedded engineer,"Big-endian card, little-endian host","Byte order bugs, made visible",TOOL,COMPARISON,"Dominant object is one u32 word rendered twice across a mirrored vertical axis: 00 00 12 34 on the big-endian side, 34 12 00 00 on the little-endian side, whole bytes swapping as intact blocks with crossing tie-lines. Anchored on the axis itself is the single unsigned value 4660, unchanged by the mirror — that invariance is the technical point. Five nodes maximum: source hex block, width selector (u16 / u32 / u64), BE lane tagged 'smart card / network', LE lane tagged 'x86 / ARM', the shared value chip. Enclosed by a browser-boundary frame; nothing is sent out. Variation within VSG-ENCODING-CONVERTER: this is the mirrored byte-order axis with one invariant numeric value — not an alphabet fork, character stack, or literal funnel. Allowed labels: u16 / u32 / u64, 00 00 12 34, 34 12 00 00, 4660, BE, LE. Must not imply bits or nibbles reverse.","Do not reverse bits or nibbles — endianness swaps whole bytes only; Do not show the unsigned value changing between the BE and LE views — only the byte layout differs; Do not label smart-card, banking, or network byte order as little-endian — those are big-endian; Do not show a swap applied to a hex string that is not a whole multiple of the selected width","Mirrored axis turning a big-endian u32 into its little-endian layout while the unsigned value holds steady, in the AmbiSecure client-side byte-order converter.",ambisecure-resources-tools-endian-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Thin body (~797 chars) and narrow utility; supporting reference for the APDU/ATR tool cluster.
20,Resource,Length-Field Encoder,https://ambisecure.ambimat.com/resources/tools/length-field/,CALCULATOR,BER-TLV,APDU; Personalization,Smart-card engineering,3,"Encodes one integer length into BER long-form, GlobalPlatform DGI, and raw u8/u16 big- and little-endian, for engineers hand-building TLV and APDU structures.",Smart-card engineer,"One length, five encodings","BER, DGI, or raw u16",TOOL,TECHNICAL WORKBENCH,"Dominant object: a single decimal integer — 300 (0x12C) — sitting at a fan-out hub on the left, with encoded byte groups radiating to the right; a one-to-many divergence rather than the one-to-one decode of the parsers, and the only concept in this batch where bytes are produced rather than taken apart. Exactly four output nodes plus the source: BER long form (0x82 01 2C — the 0x80|N marker followed by N length bytes), DGI long form (0xFF 01 2C, used when the value is not short), raw u16 big-endian (01 2C), and raw u16 little-endian (2C 01), with a greyed u8 lane marked as out-of-range for this value. A short rule strip notes BER short form applies at or below 127 and DGI short form below 0xFF. Nothing hardware-side; encoding runs locally. Allowed labels: BER, DGI, u8, u16, BE, LE, 0x82, 0xFF, 300, 0x12C, X.690, GP 2.3.1. Must not imply the tool writes to a card.","Do not swap the BER and DGI long-form markers — BER uses 0x80|N, DGI uses 0xFF followed by two bytes; Do not show a u8 lane carrying a value above 255; Do not present length encoding as a cryptographic or security operation; Do not imply the encoder personalises or provisions a card; Do not show identical byte order for the BE and LE outputs","Length-field encoder concept from AmbiSecure fanning the value 300 into BER long-form, GlobalPlatform DGI and raw u16 big- and little-endian byte groups.",ambisecure-resources-tools-length-field-1200x630.png,VSG-ENCODING-CONVERTER,resources.png,Not started,Thin page (795 chars body). Possible consolidation candidate with the endian converter.
21,Resource,SW1/SW2 Lookup,https://ambisecure.ambimat.com/resources/tools/sw-lookup/,ENGINEERING TOOL,APDU,Smart cards; JavaCard,Smart-card engineering,3,"A local search that resolves any smart-card status word by hex or by phrase across ISO/IEC 7816-4, GlobalPlatform, EMV and FIDO returns.",Smart-card engineer,Find the status word fast,Two bytes explain the failure,TOOL,TECHNICAL WORKBENCH,"Dominant object: a single search field holding the query 6A82, with a short stack of ranked match cards resolving beneath it — a query-and-match interaction, deliberately unlike the exhaustive grid used for the APDU status dictionary in the same family. The flow is bidirectional lookup: hex in, meaning out, and phrase in, hex out (a second chip shows the query ""file not found"" resolving back to 6A82). Exactly five result nodes: 9000 (OK), 6A82 (file or application not found), 6982 (security status not satisfied), 63CX (PIN retries remaining, X = attempts left), and 6CXX (wrong Le, exact length is XX). No card or reader is drawn — the emphasis is that the table is static and every search runs locally with nothing transmitted. Allowed labels: SW1, SW2, 9000, 6A82, 6982, 63CX, 6CXX, ISO/IEC 7816-4 §5.1.4. Must not imply the tool queries a card, a reader, or a remote database.","Do not show the search calling a remote API — the dictionary is static and searched in-browser; Do not present 63CX as a fixed value, the low nibble carries the remaining retry count; Do not frame status-word lookup as PIN recovery, brute-forcing or an attack aid; Do not show 9000 as an error colour or 6XYY as uniformly fatal — 62/63 are warnings; Do not attribute every status word to ISO 7816-4 when GlobalPlatform, EMV and FIDO extend the range","AmbiSecure SW1/SW2 lookup concept: a local search resolving 6A82 and related smart-card status words by hex or phrase, with no query leaving the browser.",ambisecure-resources-tools-sw-lookup-1200x630.png,VSG-REFERENCE-TABLE,resources.png,Not started,"Thin page (840 chars). Strong consolidation candidate with rec 22 APDU status dictionary — same corpus, different interaction. Flag for human review."
22,Resource,APDU Status Dictionary,https://ambisecure.ambimat.com/resources/tools/apdu-status-dict/,REFERENCE DATABASE,APDU,Smart cards; JavaCard,Smart-card engineering,2,"A browseable, filterable dictionary of every common smart-card status word, grouped by range and filterable by source standard.",Smart-card engineer,The whole SW1/SW2 table,Status words from four standards,REFERENCE,COMPARISON,"Dominant object: a dense, full-bleed reference grid of status words seen all at once, with a source-filter rail down the left — the completeness of the corpus is the point, in direct contrast to the single-query search card used for the SW lookup tool in this family. The organising relationship is range grouping: exactly five structural nodes — the 9XYY band (success and proprietary), the 6XYY band (warnings and errors), and three pattern rows called out as wildcards, 61XX (more data available), 6CXX (wrong Le, exact length is XX) and 63CX (PIN retries remaining). The filter rail carries four source chips: ISO 7816-4, GlobalPlatform, EMV, FIDO. No hardware and no network — a static reference where no input leaves the browser. Allowed labels: SW1, SW2, 9XYY, 6XYY, 61XX, 6CXX, 63CX, ISO 7816-4, GlobalPlatform, EMV, FIDO. Must not imply the table is exhaustive of proprietary card-specific returns.","Do not render 61XX, 6CXX or 63CX as literal fixed hex — the low byte or nibble is a variable; Do not show the table as live-fetched or backed by a server, it is a static in-page reference; Do not imply the four source standards define identical meanings for the same status word; Do not present the dictionary as a compliance or certification check; Do not label the whole 6XYY range as errors when 62 and 63 are warnings","Filterable status-word reference from AmbiSecure grouping 9XYY successes against 6XYY warnings and errors, with ISO 7816-4, GlobalPlatform, EMV and FIDO sources.",ambisecure-resources-tools-apdu-status-dict-1200x630.png,VSG-REFERENCE-TABLE,resources.png,Not started,"Consolidation candidate with rec 21; if merged, this page is the surviving canonical reference."
